"LogFull Bodies","Log"
"IP White List","IP-Whitelist"
"Delivery Area Categories","Liefergebiet Kategorien"
"Advastore handling","Advastore"
"Contains Battery","Enthält Batterie"
"Manufacturer Sku","Hersteller Sku"
"Module not enabled","Modul nicht aktiviert"
"assigned","zugewiesen"
"unassigned","nicht zugewiesen"
"Sandbox URL","Sandkasten URL"
"Available Stock","Verfügbarer Lagerbestand"
"On Order Stock","Bestellungen auf Lager"
"Estimated Delivery Period Category","Kategorie der voraussichtlichen Lieferzeit"
"Display Estimate","Lieferzeit anzeigen"
"Estimate Delivery","voraussichtliche Lieferzeit"
"Show Delivery Estimates on Product Detail Pages","Lieferzeit auf den Produktdetailseiten anzeigen"
"Delivery Period","Lieferzeit"
"Shipping","Versand"
"Advastore availableStock","Advastore Lagerbestand"
"Partial Fulfillment","Teilversand"
"Manufacturer","Hersteller"
"Comment","Kommentar"
"House Number","Hausnummer"
"Advastore Stock","Advastore Lager"
